atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,yelp_id
60.0,56.0,60.0,32.0,6.0,20.0,59.0,1.0,17.0,2.0,14.0,33.0,10.0,4.0,1.0,,,OkWWg21Tln2nd7wBgURtJQ
7.0,4.0,2.0,24.0,2.0,21.0,3.0,,3.0,,,6.0,,,,,2.0,OwpCK2Krj4qxvsA5672HOQ
60.0,60.0,60.0,37.0,6.0,24.0,60.0,2.0,22.0,2.0,13.0,34.0,9.0,2.0,1.0,,,P1LZAzIiVCd0AuJ3rmjDMQ
60.0,60.0,60.0,21.0,3.0,19.0,45.0,1.0,14.0,2.0,5.0,17.0,8.0,2.0,,,,PAdsmCb-T8yzrLf137yCVg
39.0,17.0,60.0,31.0,3.0,16.0,35.0,,13.0,,9.0,16.0,7.0,1.0,1.0,,,PBt_sana68L9ZjgQzeJ7zw
5.0,,29.0,11.0,1.0,13.0,8.0,,4.0,,1.0,3.0,3.0,,,,,PMnU-trprMtR9p3V_9uXLw
28.0,10.0,22.0,28.0,6.0,18.0,38.0,,14.0,1.0,5.0,31.0,7.0,,2.0,,,PSp0P_3zWIQabA5HAIJBMQ
40.0,21.0,39.0,60.0,5.0,14.0,39.0,,24.0,1.0,6.0,33.0,15.0,,1.0,,,PUZSvR-nEHlhEi0gSADu7w
52.0,30.0,59.0,24.0,3.0,8.0,32.0,,9.0,1.0,7.0,15.0,8.0,1.0,,,,Pm-PU6CldkzBm4ci4r66LQ
,1.0,1.0,2.0,,4.0,1.0,,11.0,,,2.0,,,,,,PsUYM5VJ4rSKCsOYyrWxbQ
7.0,1.0,8.0,28.0,,23.0,13.0,4.0,2.0,,4.0,17.0,,1.0,3.0,,,PygaMm6O5n1UDHrbnm7uBg
18.0,3.0,13.0,19.0,,16.0,9.0,1.0,11.0,,,13.0,,,2.0,,,QXdEeuL4cA_KcGMrh5o5rA
6.0,1.0,3.0,6.0,1.0,17.0,2.0,3.0,2.0,,,12.0,,,,,,QaKYHTjR7ZygxaFUskdMEA
2.0,1.0,2.0,1.0,,10.0,2.0,2.0,2.0,,,7.0,,,,,,QhhOFdwFrgHFjrUYlI67IA
7.0,2.0,5.0,9.0,2.0,13.0,1.0,3.0,1.0,,,8.0,,,1.0,,,QvCYvbMNkRTe4UqVwmyb3w
19.0,4.0,12.0,8.0,5.0,18.0,24.0,2.0,10.0,,3.0,30.0,3.0,,1.0,,,R7peDyHzKTGilwo_1fjt3g
13.0,3.0,13.0,1.0,,9.0,6.0,,1.0,,2.0,2.0,,,,,,REmBxSRBi_FDgwsTnjl3hA
60.0,60.0,60.0,35.0,7.0,23.0,60.0,1.0,22.0,2.0,15.0,36.0,10.0,4.0,1.0,,,RF2YhEH__pDNKAhMwZmCUA
38.0,18.0,47.0,49.0,7.0,20.0,54.0,1.0,9.0,3.0,4.0,39.0,8.0,4.0,3.0,,,RNqUyblZzXvg0a2fBjJQQg
60.0,38.0,38.0,25.0,7.0,17.0,53.0,1.0,17.0,,13.0,45.0,7.0,5.0,2.0,,,RQUZgVKcgenO-FjTg0j80A
44.0,24.0,34.0,60.0,3.0,18.0,33.0,,21.0,,7.0,24.0,10.0,1.0,,,1.0,Rr7rhulFCpGvO341g-EWVg
60.0,41.0,60.0,32.0,6.0,23.0,55.0,1.0,17.0,,14.0,39.0,9.0,5.0,1.0,,,Ruq91rmQNweZ78TzKylQMg
24.0,6.0,34.0,14.0,2.0,21.0,21.0,2.0,6.0,1.0,1.0,23.0,,,,,1.0,SNJhevBiD7xFvxiEJywMxw
31.0,8.0,57.0,21.0,3.0,8.0,23.0,,7.0,1.0,6.0,11.0,6.0,1.0,,,,SvMVqEWYJXPOr6vJlRYnrg
15.0,4.0,15.0,1.0,,16.0,5.0,,2.0,,,3.0,,,,,,T1wflZohQRZVb9SKQapfFA
23.0,9.0,48.0,27.0,3.0,13.0,22.0,1.0,9.0,,6.0,11.0,5.0,1.0,1.0,,,T4nEmSQNeTKnNgcHpnvH0A
2.0,1.0,2.0,8.0,1.0,24.0,5.0,2.0,5.0,,,19.0,2.0,,1.0,,,T8DpRFty13MXLf6MB43aLg
10.0,5.0,2.0,6.0,,17.0,1.0,3.0,2.0,,1.0,10.0,,,2.0,,,TbidSY0CNknTW1WEqK33WA
10.0,2.0,13.0,7.0,,28.0,6.0,2.0,4.0,,,13.0,1.0,,,,,TfSZgUu1Uxwcve7q1j5fLQ
1.0,,1.0,3.0,1.0,10.0,3.0,4.0,1.0,,,5.0,,,,,,U4ppRbaM8K12j3oOyirXXg
8.0,4.0,9.0,7.0,,13.0,6.0,1.0,3.0,,3.0,12.0,1.0,,1.0,,,UGJpzdTghcvMekA1ML0-kA
60.0,60.0,45.0,23.0,3.0,28.0,55.0,1.0,18.0,2.0,7.0,14.0,4.0,1.0,,,1.0,UHSgwkHN_4IxeHa3pcb5Pg
15.0,4.0,16.0,1.0,,17.0,6.0,,2.0,,,4.0,,,,,,UYEP_G4fYVxasowdgd5Icg
38.0,17.0,39.0,60.0,6.0,14.0,43.0,,20.0,1.0,6.0,30.0,14.0,,1.0,,,Ug6ngfzLT_cPzSttve1OzQ
3.0,,6.0,12.0,,16.0,9.0,1.0,9.0,,1.0,26.0,,,1.0,,,UtS03G9OuSNuEtm-lHcf7w
38.0,16.0,38.0,60.0,6.0,13.0,50.0,,17.0,1.0,9.0,22.0,14.0,,2.0,,,V5r0E89VSK0IDzZRvrhc3g
60.0,60.0,44.0,36.0,7.0,27.0,60.0,2.0,23.0,1.0,14.0,53.0,7.0,5.0,1.0,,,V8_e5MRjfexH4WFBqjDWCg
55.0,33.0,60.0,27.0,3.0,9.0,32.0,,8.0,1.0,6.0,13.0,8.0,1.0,,,,VDmV3tPEQqFxzqQJRJazNw
44.0,28.0,40.0,60.0,3.0,30.0,24.0,,33.0,1.0,2.0,30.0,12.0,1.0,,,1.0,VH0Ib9S3E-dxbQdQC4rffg
