,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
103,07070,18745,12298,454,12,2340,0,61,353,2543,96.9%,,19.6%,4.7%,31.4 minutes,32.0%,54.0%,1.1%,4.9%,8.0%
104,07071,21891,14709,325,10,1333,6,116,286,3769,89.7%,,13.1%,5.5%,30.5 minutes,32.8%,51.6%,1.5%,6.6%,7.5%
105,07072,6327,4312,122,5,499,2,22,61,1104,90.4%,,14.0%,5.3%,26.8 minutes,36.6%,51.7%,1.4%,4.8%,5.4%
106,07073,9368,5616,336,5,1237,2,25,129,1563,93.4%,,13.5%,4.3%,29.4 minutes,34.6%,50.9%,2.1%,6.3%,6.1%
107,07074,2795,1708,23,0,267,0,8,42,660,81.3%,,6.2%,4.9%,25.9 minutes,27.4%,53.6%,3.0%,6.3%,9.7%
108,07075,8225,5898,95,9,538,0,15,71,1000,94.2%,,14.0%,5.6%,26.0 minutes,29.0%,56.5%,1.5%,6.9%,6.1%
109,07078,12949,10530,129,0,2021,2,13,236,319,101.8%,,57.5%,2.5%,43.4 minutes,18.4%,74.8%,0.6%,4.2%,2.0%
110,07079,16538,9230,4598,18,828,1,91,553,997,97.2%,,33.4%,5.4%,36.5 minutes,45.9%,43.7%,0.8%,3.5%,6.1%
111,07081,17566,11916,968,8,1195,0,24,195,1502,95.9%,,25.5%,3.8%,33.7 minutes,28.3%,54.6%,1.2%,7.6%,8.3%
112,07082,4842,4379,51,0,648,0,10,47,249,99.3%,,29.2%,6.3%,34.1 minutes,25.9%,64.7%,0.2%,5.6%,3.6%
113,07083,55141,24756,13074,40,5840,20,312,795,8216,88.7%,,10.4%,6.2%,31.3 minutes,37.1%,49.6%,1.4%,6.1%,5.7%
114,07093,64953,9193,1203,52,3707,7,179,486,46057,74.1%,,9.7%,7.8%,37.3 minutes,39.9%,40.8%,3.2%,5.4%,10.7%
115,07094,19005,9091,575,23,3269,1,33,247,3025,89.0%,,19.1%,3.9%,31.5 minutes,30.4%,54.5%,1.7%,6.8%,6.7%
116,07102,13271,1922,6475,49,758,11,78,216,3070,70.1%,,8.8%,12.7%,31.9 minutes,60.5%,22.5%,3.4%,5.0%,8.6%
117,07103,32381,1306,25197,86,539,12,169,365,5024,78.8%,,4.2%,17.8%,34.7 minutes,61.2%,22.1%,3.8%,5.0%,7.9%
118,07104,50814,3328,11609,107,756,5,369,484,33820,71.3%,,4.9%,12.0%,33.8 minutes,49.7%,30.8%,4.5%,4.8%,10.1%
119,07105,54604,19100,4078,50,280,9,2343,1556,19567,62.7%,,3.6%,6.7%,33.7 minutes,43.7%,39.3%,4.1%,3.8%,9.2%
120,07109,36105,13887,2737,66,4265,5,290,524,14123,86.4%,,6.3%,9.3%,30.2 minutes,35.8%,45.7%,2.8%,6.2%,9.5%
121,07110,28893,21209,541,12,2779,1,84,388,3337,94.8%,,17.8%,4.8%,31.4 minutes,32.8%,51.8%,1.4%,5.4%,8.6%
122,07114,13810,1855,7542,37,69,2,314,188,4741,68.0%,,1.8%,13.5%,41.8 minutes,65.2%,22.6%,3.1%,2.7%,6.4%
123,07201,26825,4083,6868,27,274,10,286,365,14350,71.7%,,3.1%,8.0%,25.8 minutes,41.3%,38.8%,6.3%,3.7%,9.9%
124,07202,42186,8186,4851,39,1027,7,222,378,26139,74.7%,,3.7%,8.3%,26.6 minutes,42.3%,38.6%,3.8%,5.4%,9.9%
125,07206,28828,2932,5330,32,246,2,159,225,17710,61.7%,,1.5%,6.7%,25.7 minutes,53.5%,35.1%,2.8%,3.5%,5.2%
126,07302,41614,15272,3714,53,9492,11,148,880,6782,95.4%,,35.9%,2.7%,37.5 minutes,41.2%,47.4%,1.2%,3.1%,7.2%
127,07304,43411,4716,16866,98,5905,20,500,948,12180,83.3%,,8.7%,8.7%,34.0 minutes,43.4%,39.5%,3.4%,4.3%,9.4%
128,07305,64479,7143,28741,179,9065,18,835,1436,12687,84.0%,,8.9%,9.7%,38.9 minutes,46.8%,35.7%,2.6%,6.9%,8.1%
129,07306,55828,12304,6576,140,16918,35,517,1494,14685,86.6%,,15.5%,6.0%,38.4 minutes,40.6%,45.8%,2.6%,4.1%,6.8%
130,07307,45663,10887,2429,91,8164,11,370,844,21016,81.0%,,13.0%,4.6%,36.4 minutes,38.1%,46.7%,3.3%,4.2%,7.6%
131,07310,13924,2650,695,24,8347,0,49,208,865,99.1%,,56.0%,3.8%,37.9 minutes,50.7%,44.9%,1.2%,0.7%,2.5%
132,07407,20423,11957,884,19,2055,3,69,299,4117,90.0%,,7.8%,3.7%,25.2 minutes,32.8%,52.6%,1.9%,5.9%,6.8%
133,07410,33681,25151,464,14,3130,1,60,341,3296,94.8%,,22.5%,4.1%,31.5 minutes,25.8%,57.7%,1.0%,7.7%,7.9%
134,07424,27236,19736,947,22,1146,3,88,410,3870,92.8%,,13.6%,5.8%,25.6 minutes,36.0%,48.5%,1.3%,5.2%,8.9%
135,07470,55780,44030,1124,34,4441,9,103,641,4335,94.2%,,19.3%,4.8%,30.0 minutes,31.4%,54.2%,0.9%,7.2%,6.4%
136,07503,18839,4855,1372,22,391,1,123,579,11380,70.2%,,5.2%,6.2%,25.3 minutes,43.0%,40.8%,3.2%,5.3%,7.8%
137,07506,19221,14792,355,17,524,0,37,169,2897,92.2%,,12.2%,5.1%,26.6 minutes,32.0%,51.3%,2.0%,5.4%,9.3%
138,07508,23062,12120,1958,23,999,2,54,301,7143,89.9%,,8.9%,8.4%,24.9 minutes,31.7%,51.6%,2.0%,6.6%,8.1%
139,07512,11056,8249,220,4,639,0,19,123,1550,88.1%,,10.0%,6.9%,26.1 minutes,36.4%,48.1%,1.8%,8.2%,5.6%
140,07514,20698,1169,8609,30,59,5,55,241,8121,76.9%,,1.8%,9.4%,21.0 minutes,52.3%,31.3%,4.5%,4.8%,7.2%
141,07601,44906,12845,9693,67,4372,5,178,664,15186,88.2%,,11.6%,3.8%,31.1 minutes,38.9%,40.3%,2.3%,5.7%,12.7%
142,07604,12297,8445,293,7,1169,2,27,139,1760,94.4%,,12.8%,5.2%,29.4 minutes,33.0%,52.7%,0.8%,6.5%,7.0%
143,07605,9268,3945,170,6,3129,0,32,178,1490,95.1%,,25.2%,4.5%,34.4 minutes,25.9%,57.7%,2.4%,6.8%,7.2%
144,07606,2707,1290,97,4,118,0,2,32,767,82.4%,,4.9%,4.6%,24.1 minutes,31.5%,47.7%,3.9%,8.3%,8.6%
145,07607,9865,6081,460,5,1042,2,42,138,1785,94.8%,,15.2%,5.3%,26.4 minutes,33.6%,51.8%,0.9%,6.2%,7.5%
146,07621,27907,10535,1715,32,6778,9,59,516,7117,91.1%,,13.2%,4.4%,32.7 minutes,33.9%,50.7%,1.3%,6.0%,8.0%
147,07624,8766,5019,100,1,2649,1,10,92,501,98.4%,,25.4%,6.2%,36.5 minutes,27.8%,64.1%,0.4%,2.5%,5.3%
148,07631,28483,8451,8370,79,2167,11,99,482,7460,92.1%,,20.5%,4.7%,34.6 minutes,36.7%,47.3%,1.9%,5.3%,8.8%
149,07632,5587,2762,96,0,2029,0,3,103,316,95.0%,,30.6%,2.8%,34.5 minutes,17.8%,68.8%,0.9%,6.3%,6.2%
150,07643,11023,5016,366,22,2550,2,34,194,2442,88.9%,,9.1%,5.7%,31.8 minutes,36.4%,48.1%,1.2%,6.1%,8.2%
151,07650,20774,4213,283,7,11291,3,68,161,3575,86.6%,,7.9%,4.0%,33.1 minutes,36.6%,51.1%,1.7%,4.1%,6.5%
152,07652,27179,17626,335,11,5850,13,57,537,1913,93.5%,,17.0%,4.2%,31.7 minutes,27.9%,56.4%,0.7%,9.2%,5.8%
153,07657,11455,5215,95,4,3199,0,35,122,2362,92.2%,,12.9%,5.6%,28.3 minutes,32.8%,52.9%,1.6%,5.0%,7.7%
154,07660,13162,5882,581,15,1447,1,41,157,4605,92.6%,,14.3%,4.0%,32.7 minutes,33.8%,49.3%,1.7%,5.1%,10.2%
155,07662,5714,3918,147,6,481,0,3,71,904,90.1%,,10.4%,4.2%,26.7 minutes,35.8%,46.0%,0.5%,10.5%,7.2%
156,07663,14180,10418,268,8,1102,0,40,157,1666,88.4%,,10.6%,3.9%,25.6 minutes,28.1%,55.2%,2.0%,8.1%,6.7%
157,07666,41251,18346,10266,47,3574,21,150,797,6575,95.5%,,24.9%,3.2%,35.1 minutes,33.4%,51.4%,1.1%,5.7%,8.4%
158,07901,23609,16993,967,11,1509,0,48,370,2908,96.3%,,36.6%,3.6%,34.4 minutes,24.4%,62.2%,1.1%,4.9%,7.4%
159,07932,10274,8393,237,5,681,1,19,136,396,98.3%,,30.2%,3.6%,31.6 minutes,28.2%,57.1%,2.2%,5.0%,7.5%
160,07936,11393,9042,90,4,1322,0,15,84,600,92.2%,,15.8%,5.9%,27.1 minutes,24.6%,59.5%,0.2%,8.9%,6.7%
