,name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category_x,id,Name,category_y,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
943,La Briciola,37.78157656,-122.3959223,False,94107.0,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/la-briciola-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,853,[],italian,iH0f1TMuwLOb5hXz4Y4UOA,La Briciola,Italian,$11-30,$11-30,"
                                74 out of 100
                            ",31,80,121,324,298,Yes,Beer & Wine Only,,No,,,No,Street,,Yes,Yes,,Free,,Romantic,Casual,Average,,19.0,10.0,41.0,11.0,2.0,24.0,35.0,2.0,13.0,,1.0,15.0,3.0,,1.0,,,94107.0,29805.0,14409.0,1706.0,69.0,6389.0,147.0,128.0,990.0,2761.0,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
944,Town's End Restaurant & Bakery,37.78250300000001,-122.3887404,False,94107.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/towns-end-restaurant-and-bakery-san-francisco-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,746,"['delivery', 'restaurant_reservation', 'pickup']","tradamerican,breakfast_brunch,bars",S6yq--21j7fFadh-aXBtRQ,Town’s End Restaurant & Bakery,"American (Traditional),Breakfast & Brunch,Bars",$11-30,$11-30,"
                                82 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,,5.0,2.0,15.0,2.0,,8.0,10.0,,3.0,1.0,3.0,4.0,2.0,,,,,94107.0,29805.0,14409.0,1706.0,69.0,6389.0,147.0,128.0,990.0,2761.0,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
945,Oola Restaurant & Bar,37.78103,-122.40263,False,94107.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/oola-restaurant-and-bar-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1712,"['delivery', 'restaurant_reservation', 'pickup']","newamerican,bars,breakfast_brunch",xQip7O-KABOtzBb-an4MIw,Oola Restaurant & Bar,"American (New),Bars,Breakfast & Brunch",$11-30,$11-30,"
                                83 out of 100
                            ",102,149,338,713,411,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,Yes,Free,,Trendy,Casual,Average,,23.0,2.0,33.0,16.0,4.0,24.0,27.0,4.0,5.0,4.0,4.0,21.0,5.0,,3.0,,,94107.0,29805.0,14409.0,1706.0,69.0,6389.0,147.0,128.0,990.0,2761.0,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
946,Zero Zero,37.78163,-122.40204,False,94107.0,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/zero-zero-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,3030,['restaurant_reservation'],"pizza,italian,cocktailbars",8skVQNkVBv90iiPtFeSpzw,Zero Zero,"Pizza,Italian,Cocktail Bars",$11-30,$11-30,"
                                94 out of 100
                            ",142,178,460,1322,930,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,,18.0,2.0,39.0,16.0,5.0,24.0,31.0,3.0,6.0,5.0,6.0,19.0,6.0,,1.0,,,94107.0,29805.0,14409.0,1706.0,69.0,6389.0,147.0,128.0,990.0,2761.0,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
947,Pazzia Restaurant & Pizzeria,37.78341516,-122.398017,False,94107.0,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/pazzia-restaurant-and-pizzeria-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,900,[],"italian,pizza",0LVKwqqzwiUnGtKFo7f6AA,Pazzia Restaurant & Pizzeria,"Italian,Pizza",$11-30,$11-30,"
                                92 out of 100
                            ",30,53,127,330,362,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,No,,Casual,Casual,Average,,20.0,6.0,50.0,12.0,5.0,22.0,49.0,2.0,12.0,3.0,7.0,19.0,3.0,,1.0,,,94107.0,29805.0,14409.0,1706.0,69.0,6389.0,147.0,128.0,990.0,2761.0,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
948,Canton Seafood & Dim Sum Restaurant,37.78437424,-122.3977737,False,94107.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/canton-seafood-and-dim-sum-restaurant-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,661,[],"dimsum,seafood,cantonese",GNjQKG-Satm0HjwpWXWoPQ,Canton Seafood & Dim Sum Restaurant,"Dim Sum,Seafood,Cantonese",$11-30,$11-30,"
                                71 out of 100
                            ",54,89,206,235,77,Yes,Full Bar,,Yes,,No,No,"Garage, Street, Private Lot",,Yes,Yes,,Free,,Casual,Casual,Average,,23.0,9.0,45.0,14.0,5.0,32.0,56.0,2.0,5.0,3.0,9.0,20.0,3.0,,1.0,,,94107.0,29805.0,14409.0,1706.0,69.0,6389.0,147.0,128.0,990.0,2761.0,94.6%,,33.5%,4.2%,33.9 minutes,47.0%,40.0%,1.6%,4.5%,6.8%
949,Fogo de ChÃ£o Brazilian Steakhouse,37.78503902,-122.4002562,False,94103.0,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-san-francisco-4?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,652,[],"brazilian,steak",GzaXtAtEnfwoxDVXK3NLuw,Fogo de Chão Brazilian Steakhouse,"Brazilian,Steakhouses",$31-60,$31-60,"
                                96 out of 100
                            ",60,82,79,168,264,Yes,Full Bar,,No,,No,No,"Valet, Street",,No,Yes,Yes,No,,,Casual,Average,,51.0,20.0,60.0,37.0,10.0,45.0,60.0,,13.0,4.0,12.0,33.0,5.0,1.0,3.0,,,94103.0,26116.0,10241.0,2822.0,225.0,6887.0,86.0,93.0,875.0,5941.0,85.0%,,17.2%,5.0%,28.8 minutes,53.4%,28.2%,2.2%,5.1%,11.1%
950,Benu,37.78540200000001,-122.399068,False,94105.0,San Francisco,CA,$$$$,4.5,https://www.yelp.com/biz/benu-san-francisco-4?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,972,[],"newamerican,asianfusion,wine_bars",q2EbLD93gEO5uXXx7Pk3bw,Benu,"American (New),Asian Fusion,Wine Bars",Above $61,Above $61,"
                                96 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,No,Valet,,No,Yes,,No,,Upscale,Dressy,Quiet,,50.0,21.0,60.0,30.0,8.0,50.0,60.0,,11.0,3.0,9.0,23.0,3.0,1.0,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
951,TRACE,37.78535998,-122.4006242,False,94103.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/trace-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,325,[],newamerican,bKfPWcmfszfvQ1CNhvVhlQ,TRACE,American (New),$11-30,$11-30,,0,0,0,0,0,Yes,Full Bar,,No,,,No,,,No,Yes,,Free,,Trendy,Dressy,Average,,60.0,27.0,60.0,47.0,10.0,48.0,60.0,,15.0,6.0,12.0,36.0,8.0,1.0,3.0,,,94103.0,26116.0,10241.0,2822.0,225.0,6887.0,86.0,93.0,875.0,5941.0,85.0%,,17.2%,5.0%,28.8 minutes,53.4%,28.2%,2.2%,5.1%,11.1%
952,Local Kitchen & Wine Merchant,37.78678513,-122.3942184,False,94105.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/local-kitchen-and-wine-merchant-san-francisco-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,997,"['pickup', 'delivery', 'restaurant_reservation']","wine_bars,newamerican,pizza",u1qumXEGzdxzl0lM3Sjf9Q,Local Kitchen & Wine Merchant,"Wine Bars,American (New),Pizza",$11-30,$11-30,"
                                87 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,"Garage, Street",,Yes,Yes,,Free,,Trendy,Casual,Average,,25.0,13.0,25.0,12.0,4.0,60.0,39.0,,5.0,,2.0,21.0,1.0,,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
953,TropisueÃ±o,37.78530085,-122.4039187,False,94103.0,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/tropisue%C3%B1o-san-francisco-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,3927,['restaurant_reservation'],"mexican,cocktailbars",_EncdQezAzcShATMFXL0dA,Tropisueño,"Mexican,Cocktail Bars",$11-30,$11-30,"
                                81 out of 100
                            ",224,263,599,1555,1288,Yes,Full Bar,,Yes,,,Yes,"Garage, Street",,Yes,Yes,,No,,Casual,Casual,Loud,,58.0,21.0,60.0,60.0,9.0,44.0,60.0,,23.0,7.0,13.0,35.0,26.0,1.0,3.0,,,94103.0,26116.0,10241.0,2822.0,225.0,6887.0,86.0,93.0,875.0,5941.0,85.0%,,17.2%,5.0%,28.8 minutes,53.4%,28.2%,2.2%,5.1%,11.1%
954,Mourad Restaurant,37.78661,-122.4,False,94105.0,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/mourad-restaurant-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,824,[],"moroccan,venues,bars",6Wzy5p_0lLajjMhDIs0i1g,Mourad Restaurant,"Moroccan,Venues & Event Spaces,Bars",$31-60,$31-60,"
                                89 out of 100
                            ",26,55,88,186,470,Yes,Full Bar,,No,,,No,"Garage, Street",,No,Yes,Yes,Free,,"Trendy, Classy, Upscale",Dressy,Average,,60.0,38.0,60.0,60.0,10.0,60.0,60.0,,27.0,4.0,12.0,39.0,9.0,1.0,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
955,The Pink Elephant Alibi,37.78682,-122.40049,False,94105.0,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/the-pink-elephant-alibi-san-francisco-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,965,"['pickup', 'restaurant_reservation']","newamerican,breakfast_brunch,gastropubs",XjViuoOVtkQQtPfqdaIHVA,The Pink Elephant Alibi,"American (New),Breakfast & Brunch,Gastropubs",$11-30,$11-30,,59,68,113,262,465,Yes,Full Bar,,No,,No,No,"Garage, Street",,Yes,Yes,No,No,,"Hipster, Casual",Casual,Loud,,60.0,37.0,60.0,60.0,12.0,60.0,60.0,,28.0,4.0,12.0,38.0,10.0,1.0,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
956,The Grove Yerba Buena,37.786555,-122.401971,False,94105.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/the-grove-yerba-buena-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1771,[],"sandwiches,newamerican,cafes",4_hIVof0Q8dfUBwlREOEGg,The Grove Yerba Buena,"Sandwiches,American (New),Cafes",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,No,,,Yes,Street,,Yes,No,Yes,No,,Casual,,Average,,60.0,32.0,60.0,60.0,11.0,49.0,60.0,,29.0,6.0,12.0,38.0,22.0,1.0,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
957,111 Minna Gallery,37.78729000000001,-122.39936000000002,False,94105.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/111-minna-gallery-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,756,[],"galleries,bars,venues",xsG1SSVsm0YdL6-PaoKV_A,111 Minna Gallery,"Art Galleries,Bars,Venues & Event Spaces",Moderate,Moderate,"
                                100 out of 100
                            ",34,59,179,321,165,Yes,Full Bar,,,,,No,Street,,,Yes,,No,,"Casual, Trendy",,Loud,DJ,60.0,42.0,60.0,60.0,11.0,60.0,60.0,,31.0,4.0,8.0,37.0,7.0,1.0,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
958,New Ming's Restaurant,37.7870716,-122.40080159999998,False,94105.0,San Francisco,CA,$,3.5,https://www.yelp.com/biz/new-mings-restaurant-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,363,['pickup'],"chinese,seafood",1nzk92bfVUq-NSNsilrmQQ,New Ming’s Restaurant,"Chinese,Seafood",Under $10,Under $10,"
                                74 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,No,,No,,Casual,Casual,Average,,60.0,39.0,60.0,60.0,12.0,60.0,60.0,,30.0,4.0,12.0,39.0,12.0,1.0,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
959,MKT Restaurant and Bar,37.78648,-122.40457,False,94103.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/mkt-restaurant-and-bar-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,145,[],"newamerican,tapasmallplates,bars",3smNIoQZ7wc-_rgcNBHy4A,MKT Restaurant and Bar,"American (New),Tapas/Small Plates,Bars",$31-60,$31-60,,9,23,24,47,42,Yes,Full Bar,,Yes,,,No,Valet,,No,Yes,,Paid,,Upscale,Dressy,Average,,60.0,31.0,60.0,60.0,9.0,47.0,60.0,,30.0,8.0,12.0,38.0,28.0,2.0,3.0,,,94103.0,26116.0,10241.0,2822.0,225.0,6887.0,86.0,93.0,875.0,5941.0,85.0%,,17.2%,5.0%,28.8 minutes,53.4%,28.2%,2.2%,5.1%,11.1%
960,Anchor & Hope,37.78775,-122.39877,False,94105.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/anchor-and-hope-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1437,[],"seafood,wine_bars",iy1KBR5hRNcgCaqiUoBSoA,Anchor & Hope,"Seafood,Wine Bars",$31-60,$31-60,"
                                92 out of 100
                            ",71,179,348,566,275,Yes,Beer & Wine Only,,No,,,No,Street,,No,Yes,,No,,Trendy,Casual,Average,,60.0,44.0,60.0,48.0,11.0,60.0,60.0,,25.0,2.0,9.0,35.0,6.0,1.0,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
961,Roy's Restaurant,37.7881,-122.3991,False,94105.0,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/roys-restaurant-san-francisco-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,2184,[],"seafood,steak,sushi",iWUSAD2WALWNFF0pPiomHA,Roy’s Restaurant,"Seafood,Steakhouses,Sushi Bars",$31-60,$31-60,"
                                100 out of 100
                            ",99,240,395,782,670,Yes,Full Bar,,Yes,,,No,Street,,No,Yes,,No,,Classy,Dressy,Average,,60.0,55.0,60.0,60.0,10.0,60.0,60.0,,32.0,2.0,9.0,35.0,7.0,1.0,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
962,Salt House,37.78868484,-122.3983307,False,94105.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/salt-house-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1675,[],"newamerican,bars",jk1T4xIb_FH_SsiVng43HA,Salt House,"American (New),Bars",$31-60,$31-60,,78,197,464,658,279,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Trendy,Casual,Average,,60.0,60.0,58.0,51.0,8.0,60.0,60.0,,29.0,2.0,7.0,39.0,7.0,3.0,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
963,Prospect,37.78979179,-122.3909614,False,94105.0,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/prospect-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1484,[],newamerican,0Sh-XNVgGDRwiN4K3UEQJA,Prospect,American (New),$31-60,$31-60,"
                                92 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Street",,Yes,Yes,,Free,,Upscale,Dressy,Average,,20.0,13.0,13.0,12.0,,45.0,18.0,,6.0,,3.0,17.0,1.0,,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
964,Hakkasan,37.78771,-122.40385,False,94108.0,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/hakkasan-san-francisco-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1553,[],"newamerican,cantonese,dimsum",dN_v0Lu6xhv0yJcx-M0fpg,Hakkasan,"American (New),Cantonese,Dim Sum",$31-60,$31-60,"
                                88 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,"Valet, Street",,No,Yes,,No,,Upscale,Dressy,Average,,60.0,46.0,60.0,60.0,12.0,46.0,60.0,,36.0,8.0,10.0,46.0,27.0,1.0,3.0,,,94108.0,14914.0,4425.0,239.0,21.0,7933.0,23.0,25.0,289.0,813.0,72.5%,,16.3%,3.9%,28.2 minutes,45.0%,37.8%,1.7%,7.1%,8.4%
965,Town Hall,37.7895383,-122.3949794,False,94105.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/town-hall-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,1885,[],"newamerican,wine_bars",Tyn-UqOTpVHtZAgrB0lWyQ,Town Hall,"American (New),Wine Bars",$31-60,$31-60,"
                                89 out of 100
                            ",92,165,422,743,463,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,No,,Classy,Casual,Average,,60.0,41.0,26.0,17.0,1.0,60.0,60.0,,9.0,,6.0,25.0,3.0,2.0,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
966,Palomino,37.79014006,-122.3896254,False,94105.0,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/palomino-san-francisco-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,2466,[],"newamerican,mediterranean,bars",vgV_bxW6_EYSlYR5CrrvwA,Palomino,"American (New),Mediterranean,Bars",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,No,Yes,"Garage, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,,15.0,9.0,11.0,9.0,,24.0,14.0,,5.0,,2.0,15.0,,,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
967,Waterbar,37.7900429,-122.3886065,False,94105.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/waterbar-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,2781,[],"seafood,newamerican,raw_food",7Q3QIZz5UX-JSTSKKkRqDg,Waterbar,"Seafood,American (New),Live/Raw Food",$31-60,$31-60,"
                                92 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Street",,No,Yes,,No,,Upscale,Casual,Average,,8.0,5.0,9.0,6.0,,17.0,10.0,,4.0,,2.0,12.0,,,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
968,EPIC Steak,37.79081791,-122.389449,False,94105.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/epic-steak-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,2059,[],"steak,seafood,newamerican",2DihFta_jZB8aAiL_zjp9A,EPIC Steak,"Steakhouses,Seafood,American (New)",$31-60,$31-60,"
                                94 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,"Valet, Street",,Yes,Yes,,Free,,Classy,Dressy,Average,,15.0,9.0,10.0,8.0,,25.0,14.0,,6.0,,3.0,13.0,,,1.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
969,International Smoke,37.79083,-122.39594,False,94105.0,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/international-smoke-san-francisco-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,626,[],"bbq,smokehouse,bars",8bJr4G9QtbJ_tmEbVX6X4A,International Smoke,"Barbeque,Smokehouse,Bars",$31-60,$31-60,,0,0,0,0,0,Yes,Full Bar,,Yes,,,No,,,Yes,Yes,Yes,No,,"Casual, Trendy, Intimate, Romantic, Classy, Upscale",,Average,,60.0,59.0,44.0,29.0,5.0,60.0,60.0,,19.0,,5.0,29.0,6.0,3.0,2.0,,,94105.0,6890.0,3074.0,124.0,15.0,2027.0,19.0,16.0,224.0,347.0,101.5%,,43.2%,2.2%,28.4 minutes,44.7%,43.4%,0.0%,0.0%,11.9%
970,Gaspar Brasserie,37.78961864,-122.403447,False,94104.0,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/gaspar-brasserie-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,354,[],"brasseries,french,cocktailbars",mRvr3toGkIeaUwI5RtW0Gw,Gaspar Brasserie,"Brasseries,French,Cocktail Bars",$31-60,$31-60,"
                                92 out of 100
                            ",21,43,46,123,121,Yes,Full Bar,,Yes,,No,No,"Garage, Street",,Yes,Yes,Yes,No,,Intimate,Dressy,Average,,60.0,60.0,60.0,60.0,11.0,53.0,60.0,,36.0,3.0,17.0,47.0,21.0,1.0,1.0,,,94104.0,496.0,132.0,12.0,1.0,226.0,0.0,0.0,4.0,31.0,73.2%,,14.6%,9.9%,30.1 minutes,40.9%,40.0%,7.6%,8.1%,3.3%
